Lista de indices Diarios da TaxaSelic;20060102;20180329;
Data;Taxa (%a.a.);Fator diário;Base de cálculo (R$);Média;Mediana;Moda;Desvio padrão;Índice de curtose;
04/08/2006;14,66;1,00054301;0,00;0,00;0,00;0,00;0,00;0,00;
07/08/2006;14,66;1,00054301;0,00;0,00;0,00;0,00;0,00;0,00;
08/08/2006;14,66;1,00054301;0,00;0,00;0,00;0,00;0,00;0,00;
09/08/2006;14,66;1,00054301;0,00;0,00;0,00;0,00;0,00;0,00;
10/08/2006;14,66;1,00054301;0,00;0,00;0,00;0,00;0,00;0,00;
11/08/2006;14,67;1,00054335;0,00;0,00;0,00;0,00;0,00;0,00;
14/08/2006;14,69;1,00054405;0,00;0,00;0,00;0,00;0,00;0,00;
15/08/2006;14,70;1,00054439;0,00;0,00;0,00;0,00;0,00;0,00;
16/08/2006;14,69;1,00054405;0,00;0,00;0,00;0,00;0,00;0,00;
17/08/2006;14,69;1,00054405;0,00;0,00;0,00;0,00;0,00;0,00;
18/08/2006;14,74;1,00054578;0,00;0,00;0,00;0,00;0,00;0,00;
21/08/2006;14,70;1,00054439;0,00;0,00;0,00;0,00;0,00;0,00;
22/08/2006;14,69;1,00054405;0,00;0,00;0,00;0,00;0,00;0,00;
23/08/2006;14,68;1,00054370;0,00;0,00;0,00;0,00;0,00;0,00;
24/08/2006;14,69;1,00054405;0,00;0,00;0,00;0,00;0,00;0,00;
25/08/2006;14,68;1,00054370;0,00;0,00;0,00;0,00;0,00;0,00;
28/08/2006;14,69;1,00054405;0,00;0,00;0,00;0,00;0,00;0,00;
29/08/2006;14,69;1,00054405;0,00;0,00;0,00;0,00;0,00;0,00;
30/08/2006;14,67;1,00054335;0,00;0,00;0,00;0,00;0,00;0,00;
31/08/2006;14,18;1,00052635;0,00;0,00;0,00;0,00;0,00;0,00;
01/09/2006;14,17;1,00052600;0,00;0,00;0,00;0,00;0,00;0,00;
04/09/2006;14,17;1,00052600;0,00;0,00;0,00;0,00;0,00;0,00;
05/09/2006;14,18;1,00052635;0,00;0,00;0,00;0,00;0,00;0,00;
06/09/2006;14,17;1,00052600;0,00;0,00;0,00;0,00;0,00;0,00;
08/09/2006;14,17;1,00052600;0,00;0,00;0,00;0,00;0,00;0,00;
11/09/2006;14,17;1,00052600;0,00;0,00;0,00;0,00;0,00;0,00;
12/09/2006;14,17;1,00052600;0,00;0,00;0,00;0,00;0,00;0,00;
13/09/2006;14,17;1,00052600;0,00;0,00;0,00;0,00;0,00;0,00;
14/09/2006;14,17;1,00052600;0,00;0,00;0,00;0,00;0,00;0,00;
15/09/2006;14,17;1,00052600;0,00;0,00;0,00;0,00;0,00;0,00;
18/09/2006;14,16;1,00052566;0,00;0,00;0,00;0,00;0,00;0,00;
19/09/2006;14,17;1,00052600;0,00;0,00;0,00;0,00;0,00;0,00;
20/09/2006;14,17;1,00052600;0,00;0,00;0,00;0,00;0,00;0,00;
21/09/2006;14,18;1,00052635;0,00;0,00;0,00;0,00;0,00;0,00;
22/09/2006;14,17;1,00052600;0,00;0,00;0,00;0,00;0,00;0,00;
25/09/2006;14,17;1,00052600;0,00;0,00;0,00;0,00;0,00;0,00;
26/09/2006;14,17;1,00052600;0,00;0,00;0,00;0,00;0,00;0,00;
27/09/2006;14,17;1,00052600;0,00;0,00;0,00;0,00;0,00;0,00;
28/09/2006;14,17;1,00052600;0,00;0,00;0,00;0,00;0,00;0,00;
29/09/2006;14,17;1,00052600;0,00;0,00;0,00;0,00;0,00;0,00;
02/10/2006;14,16;1,00052566;0,00;0,00;0,00;0,00;0,00;0,00;
03/10/2006;14,16;1,00052566;0,00;0,00;0,00;0,00;0,00;0,00;
04/10/2006;14,16;1,00052566;0,00;0,00;0,00;0,00;0,00;0,00;
05/10/2006;14,16;1,00052566;0,00;0,00;0,00;0,00;0,00;0,00;
06/10/2006;14,17;1,00052600;0,00;0,00;0,00;0,00;0,00;0,00;
09/10/2006;14,16;1,00052566;0,00;0,00;0,00;0,00;0,00;0,00;
10/10/2006;14,16;1,00052566;0,00;0,00;0,00;0,00;0,00;0,00;
11/10/2006;14,16;1,00052566;0,00;0,00;0,00;0,00;0,00;0,00;
13/10/2006;14,16;1,00052566;0,00;0,00;0,00;0,00;0,00;0,00;
16/10/2006;14,16;1,00052566;0,00;0,00;0,00;0,00;0,00;0,00;
17/10/2006;14,16;1,00052566;0,00;0,00;0,00;0,00;0,00;0,00;
18/10/2006;14,16;1,00052566;0,00;0,00;0,00;0,00;0,00;0,00;
19/10/2006;13,67;1,00050858;0,00;0,00;0,00;0,00;0,00;0,00;
20/10/2006;13,65;1,00050788;0,00;0,00;0,00;0,00;0,00;0,00;
23/10/2006;13,66;1,00050823;0,00;0,00;0,00;0,00;0,00;0,00;
24/10/2006;13,67;1,00050858;0,00;0,00;0,00;0,00;0,00;0,00;
25/10/2006;13,68;1,00050893;0,00;0,00;0,00;0,00;0,00;0,00;
26/10/2006;13,68;1,00050893;0,00;0,00;0,00;0,00;0,00;0,00;
27/10/2006;13,67;1,00050858;0,00;0,00;0,00;0,00;0,00;0,00;
30/10/2006;13,68;1,00050893;0,00;0,00;0,00;0,00;0,00;0,00;
31/10/2006;13,68;1,00050893;0,00;0,00;0,00;0,00;0,00;0,00;
01/11/2006;13,68;1,00050893;0,00;0,00;0,00;0,00;0,00;0,00;
03/11/2006;13,67;1,00050858;0,00;0,00;0,00;0,00;0,00;0,00;
06/11/2006;13,69;1,00050928;0,00;0,00;0,00;0,00;0,00;0,00;
