Lista de indices Diarios da TaxaSelic;20060102;20131025;
Data;Taxa Anual;Fator Diário;Fator Acumulado;
01/12/2006;     13,18;          1,00049143;       1,1400709079996402;
04/12/2006;     13,18;          1,00049143;       1,1406311730459585;
05/12/2006;     13,19;          1,00049178;       1,1411921126442390;
06/12/2006;     13,18;          1,00049143;       1,1417529286841558;
07/12/2006;     13,18;          1,00049143;       1,1423140203258990;
08/12/2006;     13,18;          1,00049143;       1,1428753877049078;
11/12/2006;     13,19;          1,00049178;       1,1434374309630733;
12/12/2006;     13,18;          1,00049143;       1,1439993504197715;
13/12/2006;     13,19;          1,00049178;       1,1445619464203209;
14/12/2006;     13,19;          1,00049178;       1,1451248190943315;
15/12/2006;     13,18;          1,00049143;       1,1456875677841790;
18/12/2006;     13,19;          1,00049178;       1,1462509940162639;
19/12/2006;     13,19;          1,00049178;       1,1468146973301012;
20/12/2006;     13,19;          1,00049178;       1,1473786778619542;
21/12/2006;     13,19;          1,00049178;       1,1479429357481532;
22/12/2006;     13,19;          1,00049178;       1,1485074711250954;
26/12/2006;     13,19;          1,00049178;       1,1490722841292453;
27/12/2006;     13,18;          1,00049143;       1,1496369727218349;
28/12/2006;     13,19;          1,00049178;       1,1502023411922801;
29/12/2006;     13,19;          1,00049178;       1,1507679876996316;
02/01/2007;     13,19;          1,00049178;       1,1513339123806226;
03/01/2007;     13,18;          1,00049143;       1,1518997124051838;
04/01/2007;     13,19;          1,00049178;       1,1524661936457504;
05/01/2007;     13,19;          1,00049178;       1,1530329534704615;
08/01/2007;     13,19;          1,00049178;       1,1535999920163192;
09/01/2007;     13,19;          1,00049178;       1,1541673094203930;
10/01/2007;     13,19;          1,00049178;       1,1547349058198197;
11/01/2007;     13,19;          1,00049178;       1,1553027813518038;
12/01/2007;     13,18;          1,00049143;       1,1558705317976435;
15/01/2007;     13,19;          1,00049178;       1,1564389658077710;
16/01/2007;     13,19;          1,00049178;       1,1570076793623759;
17/01/2007;     13,19;          1,00049178;       1,1575766725989328;
18/01/2007;     13,19;          1,00049178;       1,1581459456549835;
19/01/2007;     13,19;          1,00049178;       1,1587154986681377;
22/01/2007;     13,19;          1,00049178;       1,1592853317760727;
23/01/2007;     13,19;          1,00049178;       1,1598554451165335;
24/01/2007;     13,18;          1,00049143;       1,1604254328779271;
25/01/2007;     12,94;          1,00048300;       1,1609859183620072;
26/01/2007;     12,92;          1,00048230;       1,1615458618704332;
29/01/2007;     12,93;          1,00048265;       1,1621064819806649;
30/01/2007;     12,93;          1,00048265;       1,1626673726741929;
